geo,time,name,si_pov_gini
ago,2000,Angola,51.9
ago,2008,Angola,42.7
ago,2018,Angola,51.3
alb,1996,Albania,27
alb,2002,Albania,31.7
alb,2005,Albania,30.6
alb,2008,Albania,30
alb,2012,Albania,29
alb,2014,Albania,34.6
alb,2015,Albania,32.8
alb,2016,Albania,33.7
alb,2017,Albania,33.1
alb,2018,Albania,30.1
alb,2019,Albania,30.1
alb,2020,Albania,29.4
are,2013,UAE,32.5
are,2018,UAE,26.4
arg,1980,Argentina,40.8
arg,1986,Argentina,42.8
arg,1987,Argentina,45.3
arg,1991,Argentina,46.8
arg,1992,Argentina,45.5
arg,1993,Argentina,44.8
arg,1994,Argentina,45.9
arg,1995,Argentina,48.9
arg,1996,Argentina,49.5
arg,1997,Argentina,49.1
arg,1998,Argentina,50.7
arg,1999,Argentina,49.8
arg,2000,Argentina,51
arg,2001,Argentina,53.3
arg,2002,Argentina,53.8
arg,2003,Argentina,51
arg,2004,Argentina,48.5
arg,2005,Argentina,47.8
arg,2006,Argentina,46.4
arg,2007,Argentina,46.3
arg,2008,Argentina,45
arg,2009,Argentina,43.8
arg,2010,Argentina,43.7
arg,2011,Argentina,42.7
arg,2012,Argentina,41.4
arg,2013,Argentina,41.1
arg,2014,Argentina,41.8
arg,2016,Argentina,42.3
arg,2017,Argentina,41.4
arg,2018,Argentina,41.7
arg,2019,Argentina,43.3
arg,2020,Argentina,42.7
arg,2021,Argentina,42.4
arg,2022,Argentina,40.7
arg,2023,Argentina,42.4
arg,2024,Argentina,42.4
arm,1996,Armenia,44.4
arm,1999,Armenia,36.2
arm,2001,Armenia,35.4
arm,2002,Armenia,34.8
arm,2003,Armenia,33
arm,2004,Armenia,37.5
arm,2005,Armenia,36
arm,2006,Armenia,29.7
arm,2007,Armenia,31.2
arm,2008,Armenia,29.2
arm,2009,Armenia,28
arm,2010,Armenia,30
arm,2011,Armenia,29.4
arm,2012,Armenia,29.6
arm,2013,Armenia,30.6
arm,2014,Armenia,31.5
arm,2015,Armenia,32.4
arm,2016,Armenia,32.5
arm,2017,Armenia,33.6
arm,2018,Armenia,34.4
arm,2019,Armenia,30
arm,2020,Armenia,25.1
arm,2021,Armenia,27.9
arm,2022,Armenia,27.9
arm,2023,Armenia,27.2
arm,2024,Armenia,27.4
aus,1981,Australia,31.3
aus,1985,Australia,32.5
aus,1989,Australia,33.2
aus,1995,Australia,32.6
aus,2001,Australia,33.5
aus,2003,Australia,33.5
aus,2004,Australia,33.1
aus,2008,Australia,35.4
aus,2010,Australia,34.7
aus,2014,Australia,34.4
aus,2016,Australia,33.7
aus,2018,Australia,34.3
aus,2020,Australia,33.8
aut,1994,Austria,30.8
aut,1995,Austria,29.9
aut,1996,Austria,29.3
aut,1997,Austria,29.1
aut,1998,Austria,31.3
aut,1999,Austria,29.7
aut,2000,Austria,29
aut,2003,Austria,29.5
aut,2004,Austria,29.8
aut,2005,Austria,28.7
aut,2006,Austria,29.6
aut,2007,Austria,30.6
aut,2008,Austria,30.4
aut,2009,Austria,31.5
aut,2010,Austria,30.3
aut,2011,Austria,30.8
aut,2012,Austria,30.5
aut,2013,Austria,30.8
aut,2014,Austria,30.5
aut,2015,Austria,30.5
aut,2016,Austria,30.8
aut,2017,Austria,29.7
aut,2018,Austria,30.8
aut,2019,Austria,30.2
aut,2020,Austria,29.8
aut,2021,Austria,30.7
aut,2022,Austria,30.9
aut,2023,Austria,31.2
aze,1995,Azerbaijan,34.6
aze,2001,Azerbaijan,36.5
aze,2002,Azerbaijan,25.3
aze,2003,Azerbaijan,26.8
aze,2004,Azerbaijan,26.6
aze,2005,Azerbaijan,26.6
bdi,1992,Burundi,33.3
bdi,1998,Burundi,42.1
bdi,2006,Burundi,33.4
bdi,2013,Burundi,38.6
bdi,2020,Burundi,37.5
bel,1985,Belgium,25.2
bel,1988,Belgium,25.7
bel,1992,Belgium,24.9
bel,1995,Belgium,28.4
bel,1997,Belgium,26.8
bel,2000,Belgium,33.1
bel,2003,Belgium,28.1
bel,2004,Belgium,30.5
bel,2005,Belgium,29.3
bel,2006,Belgium,28.1
bel,2007,Belgium,29.2
bel,2008,Belgium,28.4
bel,2009,Belgium,28.6
bel,2010,Belgium,28.4
bel,2011,Belgium,28.1
bel,2012,Belgium,27.5
bel,2013,Belgium,27.7
bel,2014,Belgium,28.1
bel,2015,Belgium,27.7
bel,2016,Belgium,27.6
bel,2017,Belgium,27.4
bel,2018,Belgium,27.2
bel,2019,Belgium,27.2
bel,2020,Belgium,26
bel,2021,Belgium,26.6
bel,2022,Belgium,26.4
bel,2023,Belgium,26.8
ben,2003,Benin,38.6
ben,2011,Benin,43.4
ben,2015,Benin,47.6
ben,2018,Benin,37.9
ben,2021,Benin,34.4
bfa,1994,Burkina Faso,48
bfa,1998,Burkina Faso,49.9
bfa,2003,Burkina Faso,43.3
bfa,2009,Burkina Faso,39.8
bfa,2014,Burkina Faso,35.3
bfa,2018,Burkina Faso,43
bfa,2021,Burkina Faso,37.4
bgd,1983,Bangladesh,25.9
bgd,1985,Bangladesh,26.9
bgd,1988,Bangladesh,28.8
bgd,1991,Bangladesh,27.6
bgd,1995,Bangladesh,32.9
bgd,2000,Bangladesh,33.4
bgd,2005,Bangladesh,33.2
bgd,2010,Bangladesh,32.1
bgd,2016,Bangladesh,32.4
bgd,2022,Bangladesh,30.9
bgr,1989,Bulgaria,23.4
bgr,1992,Bulgaria,30.7
bgr,1994,Bulgaria,24.3
bgr,1995,Bulgaria,32.8
bgr,1997,Bulgaria,26.4
bgr,2001,Bulgaria,32.7
bgr,2003,Bulgaria,28.9
bgr,2006,Bulgaria,35.7
bgr,2007,Bulgaria,36.1
bgr,2008,Bulgaria,33.6
