geo,time,name,se_adt_litr_zs
afg,1979,Afghanistan,18.16
afg,2011,Afghanistan,31.45
afg,2015,Afghanistan,33.75
afg,2020,Afghanistan,36.01497
afg,2021,Afghanistan,37.27
ago,2001,Angola,67.41
ago,2014,Angola,66.03
ago,2015,Angola,66.24
ago,2023,Angola,68.18
alb,2001,Albania,98.71
alb,2008,Albania,95.94
alb,2011,Albania,96.85
alb,2012,Albania,97.25
alb,2017,Albania,98.81
alb,2023,Albania,97.68
are,1975,UAE,53.51
are,1985,UAE,71.24
are,2005,UAE,90.03
are,2019,UAE,97.78
are,2021,UAE,98.13
are,2022,UAE,98.29
are,2023,UAE,98.06
are,2024,UAE,98.81
arg,1980,Argentina,93.91
arg,1991,Argentina,96.04
arg,2001,Argentina,97.19
arg,2020,Argentina,99.14
arm,1989,Armenia,98.75
arm,2001,Armenia,99.4
arm,2011,Armenia,99.74
arm,2016,Armenia,99.74
arm,2017,Armenia,99.74
arm,2018,Armenia,100
arm,2019,Armenia,100
arm,2020,Armenia,99.79
arm,2022,Armenia,99.82
arm,2023,Armenia,99.84
atg,2001,Antigua and Barbuda,98.95
aze,1999,Azerbaijan,98.79
aze,2007,Azerbaijan,99.59
aze,2009,Azerbaijan,99.76
aze,2010,Azerbaijan,99.77
aze,2011,Azerbaijan,99.78
aze,2012,Azerbaijan,99.78
aze,2013,Azerbaijan,99.79
aze,2014,Azerbaijan,99.79
aze,2015,Azerbaijan,99.79
aze,2016,Azerbaijan,99.79
aze,2017,Azerbaijan,99.79
aze,2019,Azerbaijan,99.8
aze,2023,Azerbaijan,99.78
bdi,1979,Burundi,22.51
bdi,1990,Burundi,37.38
bdi,2000,Burundi,59.3
bdi,2008,Burundi,48.08
bdi,2014,Burundi,61.29
bdi,2016,Burundi,65.69
bdi,2017,Burundi,68.38
bdi,2020,Burundi,71.33748
ben,1979,Benin,16.48
ben,1992,Benin,27.25
ben,2002,Benin,34.66
ben,2011,Benin,44.68812
ben,2013,Benin,45.08
ben,2017,Benin,38.87
ben,2019,Benin,49
ben,2021,Benin,43.83
ben,2022,Benin,51.38
bfa,1975,Burkina Faso,8.83
bfa,1991,Burkina Faso,13.57
bfa,1996,Burkina Faso,12.85
bfa,2003,Burkina Faso,21.82
bfa,2005,Burkina Faso,23.52
bfa,2006,Burkina Faso,22.47
bfa,2007,Burkina Faso,27.88
bfa,2014,Burkina Faso,34.6
bfa,2018,Burkina Faso,39.35
bfa,2019,Burkina Faso,29.66
bfa,2021,Burkina Faso,36.97
bfa,2022,Burkina Faso,40.92
bfa,2023,Burkina Faso,41.56709
bgd,1981,Bangladesh,29.23
bgd,1991,Bangladesh,35.32
bgd,2001,Bangladesh,47.49
bgd,2011,Bangladesh,58.77
bgd,2012,Bangladesh,57.86
bgd,2013,Bangladesh,61.02
bgd,2014,Bangladesh,61.09
bgd,2015,Bangladesh,65.14
bgd,2016,Bangladesh,72.76
bgd,2017,Bangladesh,72.89
bgd,2018,Bangladesh,73.91
bgd,2019,Bangladesh,74.68
bgd,2020,Bangladesh,74.91
bgd,2021,Bangladesh,76.36
bgd,2022,Bangladesh,79
bgr,2001,Bulgaria,98.2
bgr,2011,Bulgaria,98.35
bhr,1981,Bahrain,69.75
bhr,1991,Bahrain,84.01
bhr,2001,Bahrain,86.55
bhr,2022,Bahrain,97.87
bhr,2023,Bahrain,97.85
bhr,2024,Bahrain,97.82
bih,1991,Bosnia and Herzegovina,89.06
bih,2000,Bosnia and Herzegovina,96.66
bih,2013,Bosnia and Herzegovina,96.99
blr,1989,Belarus,97.88
blr,1999,Belarus,99.59
blr,2009,Belarus,99.62
blr,2019,Belarus,99.87
blz,1991,Belize,70.3
blz,2000,Belize,76.9
blz,2015,Belize,90.92
blz,2022,Belize,87.88
bol,1976,Bolivia,63.21
bol,1992,Bolivia,79.99
bol,2001,Bolivia,86.72
bol,2007,Bolivia,90.29
bol,2008,Bolivia,90.7
bol,2009,Bolivia,91.17
bol,2011,Bolivia,92.23
bol,2012,Bolivia,94.46
bol,2015,Bolivia,92.46
bol,2020,Bolivia,93.85
bol,2023,Bolivia,95.55
bol,2024,Bolivia,96.73
bra,1980,Brazil,74.59
bra,2000,Brazil,86.37
bra,2004,Brazil,88.62
bra,2006,Brazil,89.62
bra,2007,Brazil,90.01
bra,2008,Brazil,90.04
bra,2009,Brazil,90.3
bra,2010,Brazil,90.38
bra,2011,Brazil,91.41
bra,2012,Brazil,91.34
bra,2013,Brazil,91.48
bra,2014,Brazil,91.73
bra,2015,Brazil,92.05
bra,2016,Brazil,92.81
bra,2017,Brazil,93.08
bra,2018,Brazil,93.23
bra,2019,Brazil,93.89263
bra,2020,Brazil,94.74441
bra,2021,Brazil,94.77262
bra,2022,Brazil,94.37687
bra,2023,Brazil,94.57255
bra,2024,Brazil,94.74
brb,1970,Barbados,99.27
brn,1981,Brunei,77.74
brn,1991,Brunei,87.8
brn,2001,Brunei,92.67
brn,2011,Brunei,96.09
btn,2005,Bhutan,52.81
btn,2012,Bhutan,55.32
btn,2017,Bhutan,66.56
btn,2022,Bhutan,64.91
bwa,1991,Botswana,68.58
bwa,2003,Botswana,81.19
caf,1975,Central African Republic,18.24
caf,1988,Central African Republic,33.62
caf,2000,Central African Republic,50.65
caf,2019,Central African Republic,42.44
chl,1982,Chile,91.13
chl,1992,Chile,94.29
chl,2002,Chile,95.72
chl,2011,Chile,96.7
chl,2013,Chile,96.27
chl,2015,Chile,96.87
chl,2017,Chile,96.4
chn,1982,China,65.51
chn,1990,China,77.79
chn,2000,China,90.92
chn,2010,China,95.12
chn,2020,China,96.74
civ,1988,Cote d'Ivoire,34.14
civ,1998,Cote d'Ivoire,36.35
civ,2000,Cote d'Ivoire,48.74
civ,2014,Cote d'Ivoire,43.91
civ,2016,Cote d'Ivoire,50.04
civ,2019,Cote d'Ivoire,56.95924
civ,2021,Cote d'Ivoire,50
cmr,1976,Cameroon,41.22
cmr,2000,Cameroon,68.41
cmr,2007,Cameroon,70.68
cmr,2010,Cameroon,71.19
cmr,2018,Cameroon,72.55
cod,2001,"Congo, Dem. Rep.",67.17
cod,2012,"Congo, Dem. Rep.",75.02
cod,2016,"Congo, Dem. Rep.",77.04
cod,2018,"Congo, Dem. Rep.",73.55
cod,2020,"Congo, Dem. Rep.",65.68287
cod,2023,"Congo, Dem. Rep.",68.5
cog,1984,"Congo, Rep.",59.62
cog,2005,"Congo, Rep.",76.11
col,1993,Colombia,91.06
col,1996,Colombia,91.21
col,2004,Colombia,92.8
col,2005,Colombia,92.85
col,2006,Colombia,92.3
col,2007,Colombia,92.65
col,2008,Colombia,93.38
col,2009,Colombia,93.24
col,2010,Colombia,93.37
col,2011,Colombia,93.58
col,2014,Colombia,94.19
col,2015,Colombia,94.25
col,2016,Colombia,94.65
col,2017,Colombia,94.88739
col,2018,Colombia,95.09
col,2019,Colombia,95.25
col,2020,Colombia,95.64
col,2021,Colombia,95.66065
col,2022,Colombia,95.31031
col,2023,Colombia,95.45663
col,2024,Colombia,95.34
com,1980,Comoros,47.92
com,2000,Comoros,68.25
com,2014,Comoros,73.6495
com,2021,Comoros,75.6202
cpv,1990,Cape Verde,62.8
cpv,2009,Cape Verde,82.21896
cpv,2012,Cape Verde,85.33
cpv,2015,Cape Verde,86.79
cpv,2024,Cape Verde,88.47
cri,1984,Costa Rica,92.63
cri,2000,Costa Rica,94.87
cri,2011,Costa Rica,97.41
cub,1981,Cuba,97.85
cub,2002,Cuba,99.8
cub,2012,Cuba,99.67
cub,2019,Cuba,97.65
cyp,1992,Cyprus,94.36
cyp,2001,Cyprus,96.8
cyp,2011,Cyprus,98.68
dom,1981,Dominican Republic,73.06
dom,2002,Dominican Republic,87
dom,2007,Dominican Republic,88.24
dom,2010,Dominican Republic,89.54
dom,2011,Dominican Republic,90.11
dom,2012,Dominican Republic,90.16
dom,2013,Dominican Republic,90.86
dom,2014,Dominican Republic,91.76
dom,2015,Dominican Republic,91.99
dom,2016,Dominican Republic,93.78
dom,2017,Dominican Republic,93.23322
dom,2018,Dominican Republic,93.43606
dom,2019,Dominican Republic,93.67269
dom,2020,Dominican Republic,93.69264
dom,2021,Dominican Republic,93.73097
dom,2022,Dominican Republic,93.70224
dom,2023,Dominican Republic,94.31238
dom,2024,Dominican Republic,94.03
dza,1987,Algeria,49.63
dza,2002,Algeria,69.87
dza,2006,Algeria,72.65
dza,2008,Algeria,75.14
ecu,1982,Ecuador,83.55
ecu,1990,Ecuador,88.3
ecu,2001,Ecuador,90.98
ecu,2007,Ecuador,92.1
ecu,2008,Ecuador,92.39
ecu,2009,Ecuador,92.25
ecu,2010,Ecuador,91.85
ecu,2011,Ecuador,91.59
ecu,2012,Ecuador,92.06
ecu,2013,Ecuador,93.29
