geo,time,name,aged_15plus_unemployment_rate_percent
afg,2008,Afghanistan,2.494
afg,2012,Afghanistan,1.692
afg,2014,Afghanistan,7.915
afg,2017,Afghanistan,11.184
afg,2020,Afghanistan,11.71
afg,2021,Afghanistan,5.679
ago,1984,Angola,14.2
ago,1985,Angola,14.9
ago,1986,Angola,18.9
ago,2004,Angola,23.643
ago,2009,Angola,3.782
ago,2010,Angola,9.43
ago,2011,Angola,16.77
ago,2014,Angola,9.579
ago,2019,Angola,16.497
ago,2021,Angola,15.799
ago,2022,Angola,14.124
alb,1980,Albania,5.6
alb,1981,Albania,5.1
alb,1982,Albania,3.6
alb,1983,Albania,4.4
alb,1984,Albania,5.7
alb,1985,Albania,6.7
alb,1986,Albania,6.4
alb,1987,Albania,6.1
alb,1988,Albania,7
alb,1989,Albania,7.3
alb,1990,Albania,9.5
alb,1991,Albania,9.1
alb,1992,Albania,26.5
alb,1993,Albania,22.3
alb,1994,Albania,18.4
alb,1995,Albania,12.9
alb,1996,Albania,12.3
alb,1997,Albania,14.9
alb,1998,Albania,17.7
alb,1999,Albania,18.4
alb,2000,Albania,16.8
alb,2001,Albania,16.4
alb,2002,Albania,4.615
alb,2003,Albania,15
alb,2004,Albania,14.4
alb,2005,Albania,6.566
alb,2006,Albania,13.8
alb,2007,Albania,15.966
alb,2008,Albania,13.06
alb,2009,Albania,13.674
alb,2010,Albania,14.086
alb,2011,Albania,13.481
alb,2012,Albania,13.376
alb,2013,Albania,15.866
alb,2014,Albania,18.055
alb,2015,Albania,17.193
alb,2016,Albania,15.418
alb,2017,Albania,13.616
alb,2018,Albania,12.304
alb,2019,Albania,11.466
alb,2020,Albania,11.639
alb,2021,Albania,11.474
alb,2022,Albania,10.785
alb,2023,Albania,10.669
are,1975,UAE,1.96
are,1985,UAE,1.15
are,1995,UAE,1.8
are,2000,UAE,2.25
are,2005,UAE,3.12
are,2016,UAE,1.64
are,2017,UAE,2.462
are,2018,UAE,2.236
are,2019,UAE,2.331
are,2020,UAE,4.294
are,2021,UAE,3.105
are,2022,UAE,2.872
are,2023,UAE,2.151
arg,1970,Argentina,4.8
arg,1971,Argentina,6
arg,1972,Argentina,6.6
arg,1973,Argentina,5.6
arg,1974,Argentina,3.4
arg,1975,Argentina,2.3
arg,1976,Argentina,4.5
arg,1977,Argentina,2.8
arg,1978,Argentina,2.8
arg,1979,Argentina,2
arg,1980,Argentina,2.3
arg,1981,Argentina,4.5
arg,1982,Argentina,4.73
arg,1983,Argentina,4.17
arg,1984,Argentina,3.54
arg,1985,Argentina,5.3
arg,1986,Argentina,4.4
arg,1987,Argentina,5.3
arg,1988,Argentina,6
arg,1989,Argentina,7.3
arg,1990,Argentina,7.06
arg,1991,Argentina,5.44
arg,1992,Argentina,6.36
arg,1993,Argentina,10.1
arg,1994,Argentina,11.76
arg,1995,Argentina,18.8
arg,1996,Argentina,17.11
arg,1997,Argentina,14.82
arg,1998,Argentina,12.65
arg,1999,Argentina,14.05
arg,2000,Argentina,15
arg,2001,Argentina,17.32
arg,2002,Argentina,19.59
arg,2003,Argentina,15.36
arg,2004,Argentina,13.522
arg,2005,Argentina,11.506
arg,2006,Argentina,10.078
arg,2007,Argentina,8.47
arg,2008,Argentina,7.837
arg,2009,Argentina,8.645
arg,2010,Argentina,7.714
arg,2011,Argentina,7.18
arg,2012,Argentina,7.217
arg,2013,Argentina,7.1
arg,2014,Argentina,7.268
arg,2017,Argentina,8.347
arg,2018,Argentina,9.22
arg,2019,Argentina,9.843
arg,2020,Argentina,11.461
arg,2021,Argentina,8.736
arg,2022,Argentina,6.805
arg,2023,Argentina,6.139
arg,2024,Argentina,7.15
arm,1992,Armenia,1.8
arm,1993,Armenia,5.3
arm,1994,Armenia,6.6
arm,1995,Armenia,6.7
arm,1996,Armenia,9.3
arm,1997,Armenia,10.8
arm,1998,Armenia,9.4
arm,1999,Armenia,11.2
arm,2007,Armenia,10.394
arm,2008,Armenia,22.974
arm,2009,Armenia,19.295
arm,2010,Armenia,19.523
arm,2011,Armenia,18.884
arm,2012,Armenia,17.511
arm,2013,Armenia,16.576
arm,2014,Armenia,17.498
arm,2015,Armenia,18.261
arm,2016,Armenia,17.617
arm,2017,Armenia,17.704
arm,2018,Armenia,10.589
arm,2019,Armenia,9.794
arm,2020,Armenia,8.055
arm,2021,Armenia,8.418
arm,2022,Armenia,8.262
arm,2023,Armenia,8.298
atg,1973,Antigua and Barbuda,20.46
atg,1974,Antigua and Barbuda,19.46
atg,1975,Antigua and Barbuda,19.45
atg,1976,Antigua and Barbuda,20.69
atg,1991,Antigua and Barbuda,6
atg,2001,Antigua and Barbuda,8.42
atg,2018,Antigua and Barbuda,8.78
atg,2023,Antigua and Barbuda,5.37
aus,1979,Australia,6.265
aus,1980,Australia,6.105
aus,1981,Australia,5.784
aus,1982,Australia,7.163
aus,1983,Australia,9.961
aus,1984,Australia,8.987
aus,1985,Australia,8.258
aus,1986,Australia,8.081
aus,1987,Australia,8.106
aus,1988,Australia,7.226
aus,1989,Australia,6.175
aus,1990,Australia,6.926
aus,1991,Australia,9.586
aus,1992,Australia,10.733
aus,1993,Australia,10.879
aus,1994,Australia,9.724
aus,1995,Australia,8.473
aus,1996,Australia,8.509
aus,1997,Australia,8.367
aus,1998,Australia,7.684
aus,1999,Australia,6.876
aus,2000,Australia,6.288
aus,2001,Australia,6.747
aus,2002,Australia,6.375
aus,2003,Australia,5.933
aus,2004,Australia,5.399
aus,2005,Australia,5.036
aus,2006,Australia,4.785
aus,2007,Australia,4.381
aus,2008,Australia,4.242
aus,2009,Australia,5.565
aus,2010,Australia,5.214
aus,2011,Australia,5.083
aus,2012,Australia,5.225
aus,2013,Australia,5.663
aus,2014,Australia,6.078
aus,2015,Australia,6.055
aus,2016,Australia,5.711
aus,2017,Australia,5.592
aus,2018,Australia,5.345
aus,2019,Australia,5.143
aus,2020,Australia,6.394
aus,2021,Australia,5.022
aus,2022,Australia,3.728
aus,2023,Australia,3.668
aus,2024,Australia,3.942
aut,1969,Austria,2.8
aut,1970,Austria,2.4
aut,1971,Austria,1.5
aut,1972,Austria,1.3
aut,1973,Austria,1.2
aut,1974,Austria,1.3
aut,1975,Austria,2
aut,1976,Austria,2
aut,1977,Austria,1.8
aut,1978,Austria,2.1
aut,1979,Austria,2
aut,1980,Austria,1.9
aut,1981,Austria,2.06
aut,1982,Austria,3.35
aut,1983,Austria,4.11
aut,1984,Austria,3.8
aut,1985,Austria,3.6
aut,1986,Austria,3.12
aut,1987,Austria,3.79
aut,1988,Austria,3.55
aut,1989,Austria,3.14
aut,1990,Austria,3.25
aut,1991,Austria,3.42
aut,1992,Austria,3.59
aut,1993,Austria,4.25
aut,1994,Austria,3.535
aut,1995,Austria,4.345
aut,1996,Austria,5.282
aut,1997,Austria,5.15
aut,1998,Austria,5.483
aut,1999,Austria,4.699
aut,2000,Austria,4.687
aut,2001,Austria,4.007
aut,2002,Austria,4.852
aut,2003,Austria,4.779
aut,2004,Austria,5.969
aut,2005,Austria,5.682
aut,2006,Austria,5.32
aut,2007,Austria,4.909
aut,2008,Austria,4.198
aut,2009,Austria,5.371
aut,2010,Austria,4.883
aut,2011,Austria,4.637
aut,2012,Austria,4.909
aut,2013,Austria,5.367
aut,2014,Austria,5.674
aut,2015,Austria,5.802
aut,2016,Austria,6.064
aut,2017,Austria,5.561
aut,2018,Austria,4.933
aut,2019,Austria,4.56
aut,2020,Austria,5.201
aut,2021,Austria,6.459
aut,2022,Austria,4.992
aut,2023,Austria,5.264
aut,2024,Austria,5.2
aze,1991,Azerbaijan,0.11
aze,1992,Azerbaijan,0.17
aze,1993,Azerbaijan,0.52
aze,1994,Azerbaijan,0.65
aze,1995,Azerbaijan,0.8
aze,1996,Azerbaijan,0.9
aze,1997,Azerbaijan,1.03
aze,1998,Azerbaijan,1.13
aze,1999,Azerbaijan,16.25
aze,2000,Azerbaijan,11.78
aze,2001,Azerbaijan,10.91
aze,2002,Azerbaijan,10.04
aze,2003,Azerbaijan,9.17
aze,2004,Azerbaijan,7.99
aze,2005,Azerbaijan,7.26
aze,2006,Azerbaijan,6.62
aze,2007,Azerbaijan,6.33
aze,2008,Azerbaijan,5.86
aze,2009,Azerbaijan,5.74
aze,2010,Azerbaijan,5.63
aze,2011,Azerbaijan,5.42
aze,2012,Azerbaijan,5.19
aze,2013,Azerbaijan,4.97
aze,2014,Azerbaijan,4.91
aze,2015,Azerbaijan,4.96
aze,2016,Azerbaijan,5
aze,2017,Azerbaijan,5
aze,2018,Azerbaijan,4.9
aze,2019,Azerbaijan,5
aze,2020,Azerbaijan,7.24
aze,2021,Azerbaijan,6.04
aze,2022,Azerbaijan,5.65
